วันที่เกิดเหตุ,จังหวัด,จำนวนอุบัติเหตุ
2024-01-07,หนองคาย,0
2024-01-07,สุโขทัย,0
2024-01-07,สุรินทร์,0
2024-01-07,สุราษฎร์ธานี,1
2024-01-07,สุพรรณบุรี,0
2024-01-07,สิงห์บุรี,0
2024-01-07,สระแก้ว,0
2024-01-07,ลำปาง,0
2024-01-07,สมุทรสาคร,1
2024-01-07,สมุทรปราการ,0
2024-01-07,สตูล,0
2024-01-07,สงขลา,0
2024-01-07,สกลนคร,1
2024-01-07,ศรีสะเกษ,0
2024-01-07,ลำพูน,0
2024-01-07,หนองบัวลำภู,0
2024-01-07,สระบุรี,1
2024-01-07,อยุธยา,3
2024-01-07,เพชรบุรี,0
2024-01-07,อุดรธานี,1
2024-01-07,ลพบุรี,1
2024-01-07,สมุทรสงคราม,1
2024-01-07,ระนอง,0
2024-01-07,ยะลา,1
2024-01-07,นราธิวาส,0
2024-01-07,ชัยภูมิ,0
2024-01-07,แม่ฮ่องสอน,1
2024-01-07,อำนาจเจริญ,0
2024-01-07,แพร่,0
2024-01-07,เพชรบูรณ์,1
2024-01-07,เชียงใหม่,1
2024-01-07,เชียงราย,1
2024-01-07,อ่างทอง,1
2024-01-07,อุบลราชธานี,0
2024-01-07,อุทัยธานี,0
2024-01-07,อุตรดิตถ์,2
2024-01-07,เลย,1
2024-01-07,ร้อยเอ็ด,2
2024-01-07,พังงา,0
2024-01-07,ระยอง,1
2024-01-07,นครปฐม,2
2024-01-07,นครนายก,0
2024-01-07,ตาก,0
2024-01-07,ตราด,0
2024-01-07,ตรัง,2
2024-01-07,ชุมพร,1
2024-01-07,ชัยนาท,1
2024-01-07,นครพนม,0
2024-01-07,ชลบุรี,3
2024-01-07,จันทบุรี,1
2024-01-07,ขอนแก่น,1
2024-01-07,กำแพงเพชร,0
2024-01-07,กาฬสินธุ์,0
2024-01-07,กาญจนบุรี,2
2024-01-07,กรุงเทพมหานคร,2
2024-01-07,กระบี่,0
2024-01-07,ฉะเชิงเทรา,0
2024-01-07,นครราชสีมา,1
2024-01-07,ราชบุรี,0
2024-01-07,นครสวรรค์,0
2024-01-07,ยโสธร,0
2024-01-07,มุกดาหาร,0
2024-01-07,มหาสารคาม,0
2024-01-07,ภูเก็ต,0
2024-01-07,นครศรีธรรมราช,3
2024-01-07,พิจิตร,1
2024-01-07,พัทลุง,1
2024-01-07,พะเยา,0
2024-01-07,พิษณุโลก,0
2024-01-07,ปราจีนบุรี,1
2024-01-07,ประจวบคีรีขันธ์,0
2024-01-07,ปทุมธานี,0
2024-01-07,บุรีรัมย์,0
2024-01-07,บึงกาฬ,0
2024-01-07,น่าน,0
2024-01-07,นนทบุรี,0
2024-01-07,ปัตตานี,0
2024-01-08,หนองคาย,0
2024-01-08,สุโขทัย,0
2024-01-08,สุรินทร์,0
2024-01-08,สุราษฎร์ธานี,2
2024-01-08,สุพรรณบุรี,3
2024-01-08,สิงห์บุรี,0
2024-01-08,สระแก้ว,1
2024-01-08,ลำปาง,0
2024-01-08,สมุทรสาคร,1
2024-01-08,สมุทรปราการ,3
2024-01-08,สตูล,1
2024-01-08,สงขลา,4
2024-01-08,สกลนคร,1
2024-01-08,ศรีสะเกษ,0
2024-01-08,ลำพูน,0
2024-01-08,หนองบัวลำภู,1
2024-01-08,สระบุรี,1
2024-01-08,อยุธยา,0
2024-01-08,เพชรบุรี,0
2024-01-08,อุดรธานี,0
2024-01-08,ลพบุรี,1
2024-01-08,สมุทรสงคราม,0
2024-01-08,ระนอง,0
2024-01-08,ยะลา,0
2024-01-08,นราธิวาส,0
2024-01-08,ชัยภูมิ,2
2024-01-08,แม่ฮ่องสอน,0
2024-01-08,อำนาจเจริญ,0
2024-01-08,แพร่,0
2024-01-08,เพชรบูรณ์,2
2024-01-08,เชียงใหม่,4
2024-01-08,เชียงราย,0
2024-01-08,อ่างทอง,0
2024-01-08,อุบลราชธานี,2
2024-01-08,อุทัยธานี,0
2024-01-08,อุตรดิตถ์,0
2024-01-08,เลย,1
2024-01-08,ร้อยเอ็ด,1
2024-01-08,พังงา,0
2024-01-08,ระยอง,1
2024-01-08,นครปฐม,0
2024-01-08,นครนายก,0
2024-01-08,ตาก,1
2024-01-08,ตราด,0
2024-01-08,ตรัง,0
2024-01-08,ชุมพร,1
2024-01-08,ชัยนาท,0
2024-01-08,นครพนม,0
2024-01-08,ชลบุรี,2
2024-01-08,จันทบุรี,1
2024-01-08,ขอนแก่น,1
2024-01-08,กำแพงเพชร,0
2024-01-08,กาฬสินธุ์,0
2024-01-08,กาญจนบุรี,2
2024-01-08,กรุงเทพมหานคร,7
2024-01-08,กระบี่,0
2024-01-08,ฉะเชิงเทรา,0
2024-01-08,นครราชสีมา,0
2024-01-08,ราชบุรี,1
2024-01-08,นครสวรรค์,0
2024-01-08,ยโสธร,2
2024-01-08,มุกดาหาร,0
2024-01-08,มหาสารคาม,0
2024-01-08,ภูเก็ต,0
2024-01-08,นครศรีธรรมราช,3
2024-01-08,พิจิตร,0
2024-01-08,พัทลุง,0
2024-01-08,พะเยา,0
2024-01-08,พิษณุโลก,0
2024-01-08,ปราจีนบุรี,1
2024-01-08,ประจวบคีรีขันธ์,2
2024-01-08,ปทุมธานี,3
2024-01-08,บุรีรัมย์,0
2024-01-08,บึงกาฬ,0
2024-01-08,น่าน,0
2024-01-08,นนทบุรี,0
2024-01-08,ปัตตานี,0
2024-01-09,หนองคาย,0
2024-01-09,สุโขทัย,0
2024-01-09,สุรินทร์,0
2024-01-09,สุราษฎร์ธานี,1
2024-01-09,สุพรรณบุรี,2
2024-01-09,สิงห์บุรี,0
2024-01-09,สระแก้ว,0
2024-01-09,ลำปาง,0
2024-01-09,สมุทรสาคร,3
2024-01-09,สมุทรปราการ,2
2024-01-09,สตูล,0
2024-01-09,สงขลา,2
2024-01-09,สกลนคร,0
2024-01-09,ศรีสะเกษ,0
2024-01-09,ลำพูน,0
2024-01-09,หนองบัวลำภู,0
2024-01-09,สระบุรี,3
2024-01-09,อยุธยา,0
